    0.00000000    0.00000000    0.00000000
    0.13026351    0.01230872    0.26935260
    0.23774715    0.06601937    0.32564689
    0.33268051    0.17802916    0.32437923
    0.42867820    0.31840228    0.34517277
    0.52770861    0.43779571    0.37736932
    0.61876685    0.46569660    0.39292737
    0.79645250    0.35392668    0.52401081
    0.97811514    0.18012864    0.44930142
    1.16764463   -0.05261364    0.39413841
    1.39841069   -0.03316962    0.31512156
    1.65430756   -0.70276515    0.29871971
    1.93010901   -1.91921987    0.34091562
    2.22825831   -3.65697598    0.40122055
    2.61058433   -5.10119282    0.48127860
    3.12941429   -5.56392509    0.39739389
    3.69491849   -5.65222277    0.00000000
