    0.00000000    0.00000000    0.00000000
    0.57044456    0.08066690    0.18839167
    1.08137051    0.32490496    0.34458044
    1.50981815    0.96616470    0.29566860
    1.88285857    1.49421736    0.54105467
    2.16952576    1.93885177    0.31741700
    2.43951542    2.47980293    0.56636644
    2.70946552    2.69382717    0.72697569
    2.92013071    3.09278057    0.22973966
    3.13683838    3.40815369    0.37869310
    3.35523171    3.58537415    0.51454794
    3.55369340    3.70456287    0.44598093
    3.72384981    3.64474660    0.40344513
    3.90413479    3.27059682    0.29528167
    4.12103729    3.04872129    0.23369657
    4.39251958    2.93214515    0.18836360
    4.70257437    2.88633841    0.00000000
