    0.00000000    0.00000000    0.00000000
    2.51610263    0.07187158    1.29521616
    3.36843660    0.23536165    1.22093112
    3.73863596    0.51467771    0.34788221
    5.71572688    0.73042534    0.34723121
   74.91332222    0.88323867    0.34089153
  144.89054466    0.94936471    0.29913689
  215.31049233    0.95459868    0.34912115
  289.67454174    0.92995370    0.39785907
  363.97163706    0.93448911    0.34767491
  434.05555543    0.95553902    0.31955984
  504.10464803    0.93826671    0.61750554
  575.14535791    0.83024455    1.65376220
  648.78425070    0.62904031    2.31955553
  716.47048693    0.37072803    2.44961121
  784.95175068    0.09243808    1.51747541
  853.60147366    0.00361413    0.00000000
