    0.00000000   -0.05618823    0.00000000
    0.46878149   -0.04500203    0.24285890
    0.89179739    0.09219025    0.38044318
    1.20739846    0.36209378    0.42199492
    1.45361558    0.83069740    0.39042675
    1.66011655    1.47495326    0.34557550
    1.84152152    2.38611681    0.34128575
    2.01244026    3.43077079    0.30583430
    2.17984537    4.12439272    0.29264084
    2.34059583    4.32223470    0.27341331
    2.54390007    4.08172824    0.26266240
    2.76174865    3.62514028    0.41516006
    3.00751779    3.09243430    0.92606120
    3.62353077    2.84226446    0.72135305
    4.03223925    2.84646241    0.98235600
    4.40962262    2.8607        0.00000000
